segment_id,event_id,event_start,region_id,highway,log_length_meters,oneway,sinuosity,bearing_sin,bearing_cos,vertex_count,prior_exposure_count,prior_exposure_frequency,prior_observed_events,years_since_prior_positive,target,split
osm-gaul2-73705-2595266961-6360020430-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,5.9285194225063,1.0,1.0005691307932447,0.7463670122935177,0.6655345843455831,6.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267398159-3063908729-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,2.5775617929482726,1.0,1.0,-0.9916597577456814,0.1288833770033072,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267398159-540959655-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.3037682918861635,1.0,1.0,-0.05530420477757982,-0.9984695513303946,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267398678-540959624-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,5.803431711968655,1.0,1.0004053225518523,-0.9785389446266477,0.20606196604168994,12.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267398678-7205528934-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,4.944602323491818,0.0,1.0000321119946238,0.9769387368391841,-0.21351979876128432,5.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267436128-6145334081-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,2.6092606419383606,0.0,1.0,0.9766945555211213,-0.21463397963835862,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267436128-6145334082-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,4.501785494880516,1.0,1.012398250754955,0.27691159326827236,0.9608953998816037,3.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267436128-765045869-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.290635934102423,0.0,4.178139071139696,-0.14451021891070023,0.9895033080441831,69.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267436129-540959632-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,3.6263389356390383,1.0,1.0,0.9216898486297462,-0.38792760011743865,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-267436129-6145334199-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,3.6547796069169287,1.0,1.0000140490375833,0.2524480412515167,0.9676104518184332,3.0,0.0,0.0,0.0,99.0,0,train
